scenario,description,n_actual_records,avg_traffic_jam_prob,std_traffic_jam_prob,avg_accident_prob,std_accident_prob
heavy_rain,Heavy Rain (> 20mm),432,0.10481646724673187,0.03448678518989398,0.27258322901200877,0.06641269994251721
temperature_extreme_cold,Extreme Cold (< 0°C),295,0.09929433406455324,0.03885197781985396,0.20141813853829138,0.07923130554933502
temperature_extreme_hot,Extreme Heat (> 30°C),243,0.07174530165447707,0.030998592269230425,0.11271765775197375,0.039558011854934155
high_humidity,High Humidity (> 85%),454,0.08013351664103821,0.03789642971126882,0.19342062084618852,0.08395762960839977
low_visibility,Low Visibility (< 500m),166,0.0931471361412163,0.0399062556819041,0.2546507072968957,0.10616731022799983
strong_winds,Strong Winds (> 60 km/h),1018,0.07350857600822798,0.03577437236720564,0.17998845248084555,0.08105094827627715
normal_conditions,Normal Conditions,256,0.05127549871548209,0.027772960686504734,0.09282753704772394,0.010186662840663972
